Id,Name,Type,Profile,Image,Location,CorpStreet,ZipCode,City,Country,Tel,Fax,Email,LinkedIn,Facebook,Instagram,Twitter,Xing,Web,Product
58345,A/S Løgstrup Steel,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B1.EG, Stand 211",Egeskovvej 16,3490,Kvistgard,DK,+45 4912-7500,,info@logstrup.dk,https://www.linkedin.com/company/logstrup,,,,,https://www.logstrup.com,
58346,A/S Scan,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B1.EG, Stand 301",Fabriksvej 14,6960,Hvide Sande,DK,+45 9731-1045,,info@as-scan.com,https://www.linkedin.com/company/as-scan-hvide-sande,,,,,https://www.as-scan.com,
54695,AAGE HEMPEL GROUP,corporation,"About us
Aage Hempel Group provides highly qualified maritime technical service worldwide. Our offices around the world together with our associated points of service make up one of the largest maritime service companies in the world. The group is made up of four brands: Aage Hempel Crame (Spain), Aage Hempel Group (rest of the world), Charity & Taylor (UK) and Marvel (Greece).  Aage Hempel is a world reference company in the industry. We have a workforce of 120 employees worldwide throughout our 32 offices in 11 countries.
Aage Hempel Group employees around the world never lose sight of the customer and work to create value beyond profit, always with an eye on current and future customer needs. Since 2008, Aage Hempel Group is part of Grupo Arbulu, a group of 9 leading companies specialised in marine electronics technology and satellite communications solutions for the maritime industry, with a wide international presence. These companies include, among others, NAVTEAM and SMD. 

Brands we represent
We supply the best marine electronics brands in the market. Our brand independence gives us the flexibility to offer our clients the most appropriate and unbiased solutions for their particular operational needs. Whenever required, Aage Hempel Group integrates equipment from different manufacturers into its onboard solutions. Our wide range of products allows us to offer solutions that contribute to efficiency and safety on board. In addition, we offer the best repair and maintenance service for these brands, as we have a large stock of original manufacturer spares and our technicians are certified by the brands for the repair and maintenance of their equipment. 

Certifications 
Our technicians are certified by the main classification societies worldwide to carry out all types of class surveys. Aage Hempel Group is one of the most certified companies in the world. Additionally, we have two ISO certifications granted by DNV-GL that guarantee quality management in all its services and commitment to protecting the environment, the ISO 9000 and ISO 14001. 

Markets
Aage Hempel Group has a unique knowledge and experience in the maritime industry and is fully aware of the technical and operational needs of different vessels. Aage Hempel Group is specialized in the supply of all kinds of marine electronics for new construction, maintenance, surveys, repair and retrofits. We supply navigation, communications and safety systems and provide all kinds of on-board satellite communication solutions. We work for the shipping, deepsea and offshore industries, providing them with different options for annual maintenance or service delivery on demand. Aage Hempel Group delivers service in all ports along the main maritime routes  through its own global network of specialised and certified technicians. 

Our services 

- Maintenance contracts
- Surveys
- Radio surveys 
- Spares supply 
- Retrofits
- Marine electronics supply and installations. 
","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B6, Stand 536",Edif. de Servicios Area del Fresno ,11370,Los Barrios Cádiz,ES,+34 956-573276,,service@aagehempel.com,https://www.linkedin.com/company/aage-hempel-international/,https://www.facebook.com/aagehempel,,https://twitter.com/aagehempel,,https://www.aagehempel.com,
57481,ABB,corporation,"ABB Marine & Ports supplies world-leading technologies that are driving the evolution of sustainable shipping. Electrical propulsion, data-driven decision support and integrated solutions for ship and shore from ABB are paving the way to a zero-emission marine industry, providing greater efficiency and reliability to shipowners, and preparing vessels to meet the demands of tomorrow. Our automation and electrical solutions are making port and terminal operations safer, greener and more productive. ABB Marine & Ports operates in 26 countries and has 2,000 employees.","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__16355__240x240px/SM22_2022_238470_3534218_av.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__16355__480x480px/SM22_2022_238470_3534218_av.png
","Hall B6, Stand 329",Merenkulkijankatu 1 ,232,Helsinki,FI,+358 102211,,info@fi.abb.com,https://www.linkedin.com/showcase/abb-industrial-automation/,https://www.facebook.com/ABBMarineandPorts/,,https://twitter.com/ABBMarine,,https://new.abb.com/marine,
58347,ABCON A/S,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B1.EG, Stand 104",Ved Klaedebo 9,2970,Horsholm,DK,+45 45-161163,,info@abcon.eu,https://www.linkedin.com/company/abcon-as/about/,,,,,https://www.abcon.eu,
54696,Abeking & Rasmussen Schiffs- und Yachtwerft SE,corporation,"A shipyard with many faces

Abeking & Rasmussen has stood for shipbuilding at the highest level for more than 110 years and over 6500 sailing and motor yachts, naval and special ships built. The shipyard, which carries out development, design and construction in-house in Lemwerder on the Weser, delivers to demanding customers all over the world.
Since 2015, yachts and ships up to a length of 125m can be built. The shipyard has already impressively demonstrated this with the largest yacht in the shipyard's history to date - the almost 100m yacht AVIVA. However, this internal shipyard record will not last long. At present, the ""big sister"" is being built in the shipbuilding shed on the Weser. But even this 118m long yacht will not be the largest ship of Abeking & Rasmussen in the foreseeable future. One can already find the next yacht with more than 120m in the order books.
These are well filled. In addition to numerous refit orders, the next generation of minehunting vessels made of high-strength and non-magnetic steel processed using an innovative 3D laser welding procedure is currently being built in Lemwerder. The Indonesian Navy has placed an order with Abeking & Rasmussen for two of these 62m naval vessels. The shipyard can also draw on a long tradition and extensive experience with these naval vessels.  Thus, in the A&R history, more than 360 units have been developed, designed and built for navies from all parts of the world. 
Furthermore, A&R is building three multi-purpose vessels over 90m in length for the Waterways and Shipping Administration of the Federal Republic of Germany. These special purpose vessels will be the world's first vessels powered exclusively by LNG for use in hazardous atmospheres.  
Learn more about the extensive orders and special features of Abeking & Rasmussen. We are looking forward to welcoming you again finally for personal talks at our booth.  

Our booth at SMM: Hall B4 Booth EG 212","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__13433__240x240px/SM22_2022_228869_3491816_av.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__13433__480x480px/SM22_2022_228869_3491816_av.png
","Hall B4.EG, Stand 212",An der Fähre 2,27809,Lemwerder,DE,+49 421-6733-0,,info@abeking.com,https://de.linkedin.com/company/abeking-rasmussen,,https://instagram.com/abekingyachts,,,https://www.abeking.com,
54697,ABS & Affiliated Companies,corporation,"ABS, a leading global provider of classification and technical advisory services to the marine and offshore industries, is committed to setting standards for safety and excellence in design, construction and operation. Focused on the safe and practical application of advanced technologies and digital solutions, ABS works with industry and clients to provide solutions that drive sustainability, optimize performance and increase operational efficiency for marine and offshore assets. 
Through a global network, ABS delivers services and solutions to clients—using the same consistent approach when applying various rules and requirements—providing core competencies of survey and engineering. This commitment to service is what distinguishes ABS as a true class leader and a trusted partner to our clients throughout the life of their assets.
Standing on its record of independence, exceptional class service, safety and technology leadership, ABS delivers value at every stage of development of an offshore asset or marine vessel.
","https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__12267__240x240px/SM22_2022_228729_3406249_av.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Aussteller/Bilder/image-thumb__12267__480x480px/SM22_2022_228729_3406249_av.png
","Hall B3.EG, Stand 200",1701 City Plaza Drive ,77389,"Houston, TX",US,+1 281-877 6000,,ABS-WorldHQ@eagle.org,https://www.linkedin.com/company/american-bureau-of-shipping,https://www.facebook.com/AmericanBureauofShipping/,,https://twitter.com/abseagle,,https://ww2.eagle.org/en.html,
62361,AC Antennas A/S,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B6, Stand 112",Fabriksparken 40,2600,Glostrup,DK,+45 4581-0413,,acantennas@acantennas.com,,,,,,https://www.acantennas.com,
55395,Accelleron,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall A3, Stand 216",Neuländer Gewerbepark 3,21079,Hamburg,DE,+49 40-317877-0,,turbo@de.abb.com,https://www.linkedin.com/company/accelleron-industries/mycompany/,https://www.facebook.com/Accelleronindustries/,https://www.instagram.com/accelleronindustries/?utm_medium=copy_link,https://twitter.com/accelleronind,,https://www.accelleron-industries.com/,
65572,Accelleron,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall FM.EG, Stand 09",Neuländer Gewerbepark 3,21079,Hamburg,DE,+49 40-317877-0,,turbo@de.abb.com,https://www.linkedin.com/company/accelleron-industries/,,,,,https://www.abb.com/turbocharging,
60461,ACCOMAR Marine Interior AS,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B5, Stand 411",FEVZI CAKMAK CD. FATIH MH. ,77740,Yalova Altinova,TR,+90 226-4500000,,info@accomar.com.tr,https://www.linkedin.com/company/accomar,,,,,https://www.accomar.com.tr,
54698,Acebi SAS,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B5, Stand 144",Zone Industrielle Route D`Anetz ,44150,Vair-sur-Loire,FR,+33 2-40980006,,acebi@acebi.com,https://www.linkedin.com/company/acebi,,,,,https://www.acebi.com,
63503,ACM Bearings Ltd.,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B1.OG, Stand 324",Derwent Way ,S63 6EX,Rotherham,GB,+44 1709-874951,,sales@acmbearings.co.uk,https://www.linkedin.com/company/acm-composites-acm-bearings-ltd-,,,,,https://www.acmbearings.co.uk,
63504,ACR Electronics Inc.,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B1.OG, Stand 356",5757 Ravenswood Road ,33312-6645,Fort Lauderdale,US,+1 954-9813333,,aly.newman@acrartex.com,,,,,,https://www.acrartex.com,
54699,Activ Marine GmbH,corporation,,"https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__240x240px/sm_pur_rgb_soft.png
https://s3.eu-central-1.amazonaws.com/elasticbeanstalk-eu-central-1-886561356886/pimcore_hmcdp_test_env/tmp/image-thumbnails/digitale-services/Veranstaltungen/SMM/SM22/RahmenprogrammBild/image-thumb__8395__480x480px/sm_pur_rgb_soft.png
","Hall B5, Stand 417",Marie-Curie-Ring 5,24941,Flensburg,DE,+49 461-807010-0,,info@activmarine.de,https://de.linkedin.com/company/activ-marine?trk=public_profile_topcard-current-company,,,,,https://www.activmarine.de,
