Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
HoriZen Capital,https://horizencapital.com/,https://www.linkedin.com/company/horizen-capital/,"Edmonton, Alberta CA","Canada,USA,UK,Germany,France","4. Scaling,5. Growth",We Invest in B2B SaaS companies between $1m and $5m in ARR,PE fund,"$500,000 ","$5,000,000 "
Horizon 2020,https://ec.europa.eu/programmes/horizon2020/en,,,"Spain,Italy,Germany,France",,,Other,,
Horizons Ventures,https://www.horizonsventures.com/,,Hong Kong,"USA,Israel,Canada",3. Early Revenue,,VC,,
Houston Angel Network,http://www.houstonangelnetwork.org/,https://www.linkedin.com/company/the-houston-angel-network/,,,,,Angel network,,
Hovione Capital,http://www.hovionecapital.com/en/,https://www.linkedin.com/company/bionovacapital/,Portugal,Portugal,,,VC,,
How Women Invest,https://www.howwomeninvest.com/,https://www.linkedin.com/company/howwomeninvest/,"1 Adrian Terrace, San Rafael, CA 94903, USA",USA,"3. Early Revenue,4. Scaling","We invest in female founded, female-led early stage companies based in the US.  We seek companies that are tech-enabled and have some revenue traction. Primarily focused on late stage seed/A capital raise rounds.",VC,"$100,000 ","$750,000 "
Howzat Partners,http://www.howzatpartners.com/,https://www.linkedin.com/company/howzat-media/,,,,,VC,,
Hoxton Ventures,https://www.hoxtonventures.com/,https://www.linkedin.com/company/upinventure/,UK,"India,USA,UK",3. Early Revenue,,VC,"$250,000 ",
HP Tech Ventures,https://hptechventures.com/,,"Palo Alto, California, United States","Israel,USA,France",3. Early Revenue,,Corporate VC,"$1,000,000 ",
HPE Growth Capital,https://hpegrowth.com/careers/,,,Netherlands,"4. Scaling,5. Growth",,Other,,
HR Ventures,https://www.hrventures.de/,https://www.linkedin.com/company/hr-ventures-gmbh/,"Dreieich, Hessen, Germany",Germany,,,Corporate VC,,
HSBC Corporate Ventures,https://www.ventures.hsbc.com/,,UK,"USA,UK",3. Early Revenue,,Corporate VC,,
HTGF High-Tech GrÃ¼nderfonds,https://www.htgf.de/en/,https://www.linkedin.com/company/high-tech-gruenderfonds/,"SchlegelstraÃŸe 2, Bonn, Nordrhein-Westfalen 53113, DE","Germany,Switzerland,Austria,Belgium,France,Denmark,Netherlands,Sweden,Finland,Italy,Spain","3. Early Revenue,2. Prototype","We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture should not be older than 3 years (since incorporation) and have a distinct focus on the German market.",VC,"$300,000 ","$1,000,000 "
HubAngels,http://www.hubangels.com/,,,,,,Angel network,,
Hudson Sustainable Investments,https://www.hudsonsi.com/,https://www.linkedin.com/company/hudson-clean-energy/,,,,,,,
Hudson Valley Startup Fund,http://www.hvstartupfund.com/,https://www.linkedin.com/company/hudson-valley-startup-fund/,,,,,Angel network,,
Human Ventures,https://human.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
Humanity United,https://humanityunited.org/,https://www.linkedin.com/company/humanity-united,,USA,,,Other,,
Humble Ventures,https://humble.vc/,https://www.linkedin.com/in/harryalford,,,,,Other,,
Hummingbird Ventures,https://www.hummingbird.vc/,https://www.linkedin.com/company/hummigbird-ventures,"London, United Kingdom","UK,India,Turkey,Belgium,Indonesia,Brazil,Mexico,Canada,USA,Netherlands,Nigeria,France,Singapore,Greece,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in entrepreneurial genius globally at early-stage.,VC,"$500,000 ","$10,000,000 "
Hunniwell Lake Ventures,http://hunniwell.com/,,USA,USA,3. Early Revenue,,VC,,
Huntsman Family Investments,https://www.hfinvestments.com,,"Salt Lake City, Utah, United States",USA,,,Family office,,
Huron River Ventures,https://www.huronrivervc.com/,http://www.linkedin.com/company/huron-river-ventures,,,,,,,
Hurray Holdings,http://www.hurray.co.jp/english/index.html,,,Japan,,,VC,,
Hustle Fund,https://www.hustlefund.vc/,https://www.linkedin.com/company/hustle-fund/,"751 Laurel St, Suite 337 San Carlos, CA 94070, USA","USA,Indonesia,Vietnam,Canada","2. Prototype,3. Early Revenue","We invest in early-stage startups based in the US, Canada, and South-East Asia. 

Generalist fund trying to understand a team's hustle. Start with a fast-decision $25K check; work together on growth projects; if there's a fit (both ways), ask permission for $250-750K in your next raise. It's like dating before marriage, and founders hold us accountable to prove our hustle too!",VC,"$25,000 ","$25,000 "
HV Capital,https://www.hvcapital.com/,https://www.linkedin.com/company/hvventures/,Germany,Germany,3. Early Revenue,,VC,"$200,000 ",
HWVP Hummer Winblad Venture Partners,https://www.hwvp.com/,,"San Francisco, California, United States",USA,,,Other,,
Hyde Park Angels,https://hydeparkangels.com/,https://www.linkedin.com/company/hpa-vc,"Chicago, Illinois, United States",USA,,,Other,,
Hyde Park Venture Partners,https://hydeparkvp.com/,https://www.linkedin.com/company/hyde-park-venture-partners/,"415 N LaSalle St, Chicago, Illinois 60654, USA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B SaaS, marketplaces, tech-enabled services, and B2C software based in the US Midwest, Toronto, and Atlanta from idea stage through $2M+ in ARR. ",VC,"$250,000 ","$3,000,000 "
Hydra Ventures by Adidas,http://www.hydra-ventures.com/,,"Herzogenaurach, Bayern, Germany","USA,Israel,Canada,Germany",3. Early Revenue,,Corporate VC,,
Hydrogen Ventures,http://www.hydrogen.la/,,,,,,,,
Hypatia Capital,https://hypatiacapital.com/,,,,,,,,
Hype Capital,http://www.hypesportsinnovation.com/investments/,https://www.linkedin.com/company/hype-sports-innovation/,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Hyper,https://www.hyperhq.com/,https://www.linkedin.com/company/hyperhq,"Melbourne, Sydney & London","UK,Australia,New Zealand",1. Idea or Patent,"We help move you take your app idea from a dream to a functioning prototype ready to take to investors. Through our accelerate program we help you workshop the idea, monetise the business model, create pitches, develop your prototype and take what youâ€™ve created to investors.  ",Other,"$500,000 ","$500,000 "
I-Nest capital,https://www.i-nestcapital.com/,,,Japan,,,VC,,
I2A,http://www.i2afund.com/,,,,,,VC,,
I2BF Ventures,http://www.i2bf.com/,http://www.linkedin.com/company/i2bf-global-ventures,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
i3 Equity Partners,https://www.i3equity.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
IA Capital Group,http://www.iacapgroup.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
IA Ventures,http://www.iaventures.com/,,"New York, New York, United States",USA,,,Other,,
IAG Firemark Ventures,http://firemarklabs.com.au/ventures/,http://www.linkedin.com/company/firemark-ventures/about/,"Sydney, New South Wales, Australia",Australia,,,Corporate VC,,
IAN Fund,https://www.ian-fund.com/,https://www.linkedin.com/showcase/ian-fund,"Delhi, India",India,"3. Early Revenue,4. Scaling,5. Growth",We invest in post-revenue Indian startups. Sector agnostic.,VC,"$1,000,000 ","$6,000,000 "
iAngels,https://www.iangels.co/,https://www.linkedin.com/company/iangels/?originalSubdomain=il,,,"3. Early Revenue,4. Scaling",,VC,,
IBB Ventures,https://www.ibbventures.de/en,https://www.linkedin.com/company/ibb-beteiligungsgesellschaft-mbh/,"Bundesallee 210, 10719 Berlin, Germany",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in Berlin companies. 

If you are a founding team from Berlin who wants to realize an idea and is looking for an investor who contributes more than just money, then IBB Ventures is the right investor for you! ",Public fund,"$200,000 ","$1,000,000 "
Ibex Investors,https://www.ibexinvestors.com/,https://www.linkedin.com/company/ibex-investors-llc/ ,"260 N Josephine St Unit 300, Denver, CO 80206","USA,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in markets and opportunities commonly dismissed as too difficult or too different. ,VC,"$2,000,000 ","$30,000,000 "
IBI Tech Fund,https://tech.ibi.co.il/,https://www.linkedin.com/in/dan-aks-61376318,,,"3. Early Revenue,4. Scaling",,VC,,
Ibionext,https://ibionext.com/en/home/,https://www.linkedin.com/company/ibionext,France,France,"3. Early Revenue,4. Scaling",,VC,"$1,000,000 ",
IBM Ventures,https://www-03.ibm.com/innovation/venturedevelopment/,,"San Francisco, California, United States",USA,3. Early Revenue,,Corporate VC,,
Ibtikar Fund,http://ibtikarfund.com/,https://www.linkedin.com/company/6392047?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1437909867647%2Ctas%3Aibtikar%20fund,Palestine,Palestine,,,VC,,
Icebreaker VC,https://www.icebreaker.vc/,https://www.linkedin.com/company/icebreaker-vc,Finland,"Finland,Sweden,Estonia",2. Prototype,,VC,"$150,000 ",
Icehouse Ventures,https://www.icehouseventures.co.nz/,https://www.linkedin.com/company/icehouse-ventures/,"125 St Georges Bay Raod, Parnell, Auckland New Zealand",New Zealand,"3. Early Revenue,4. Scaling,2. Prototype",We invest in brave Kiwi founders chasing big problems.,VC,"$25,000 ","$2,500,000 "
Iceland Venture Studio,https://icelandventurestudio.com/,https://www.linkedin.com/in/balakamallakharan/,,UK,,,VC,,
Icon Ventures,https://iconventures.com/,https://www.linkedin.com/company/icon-ventures,"Palo Alto, California, United States",USA,,,Other,,
Iconiq Capital,http://iconiqcapital.com,https://www.linkedin.com/company/iconiq-capital-llc/,"San Francisco, California, United States","USA,Israel,Canada,France",3. Early Revenue,,Family office,,
ID Ventures America,http://idsoftcapital.com/,,,,,,,,
Id4 Ventures,https://www.id4.vc/,https://www.linkedin.com/company/id4ventures/,"Paris, France","France,UK,Germany,Estonia,Latvia,Lithuania,Norway,Spain,Italy,Finland,Denmark,Sweden,Switzerland,Romania,Croatia,Serbia,Poland,Netherlands,Belgium,Ireland,Austria,Portugal,Czech Republic","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest from Angel to seed fund in Europe. We love saas, marketplaces & traditional industries disruption",VC,"$50,000 ","$1,000,000 "
IdeaLab,https://www.idealab.com/,https://www.linkedin.com/company/8204?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A1177191458088058016%2CVSRPtargetId%3A8204%2CVSRPcmpt%3Aprimary,,,"2. Prototype,3. Early Revenue",,VC,,
IDG Capital,https://www.idgcapital.com/,https://www.linkedin.com/company/idgvc,USA,"USA,Canada,China",3. Early Revenue,,VC,,
IDG Ventures,http://www.idgventures.com/,http://www.linkedin.com/company/1181583,"Bangalore, Karnataka, India",India,,,Corporate VC,,
IDIA by CrÃ©dit Agricole,https://www.ca-idia.com/,https://fr.linkedin.com/company/idia-capital-investissement,France,France,3. Early Revenue,,Corporate VC,"$1,000,000 ",
Idinvest,https://www.idinvest.com/en,https://www.linkedin.com/company/idinvest-partners,France,"France,South Africa,Germany,China,USA,Canada","3. Early Revenue,4. Scaling",,VC,"$100,000 ",
iFly.VC,https://ifly.vc,https://www.linkedin.com/company/ifly-vc/,"329 Primrose Road, #346, Burlingame, CA 94011",USA,"3. Early Revenue,4. Scaling","We invest in outperformers that accelerate the trillion-dollar shift in consumer spending in America. Founded in late 2016, Fund I Group has backed entrepreneurs who strive to serve the underserved demographics (e.g., ethnic minorities, immigrants, residents in remote communities, etc.).",VC,"$200,000 ","$1,000,000 "
Igan Partners,http://www.iganpartners.com/,https://ca.linkedin.com/company/igan-partners,Canada,"USA,Israel,Canada",3. Early Revenue,,VC,,
IGC Fund,https://igcap.com/,https://www.linkedin.com/company/igc-fund/,"Los Angeles, USA","USA,UAE,Canada","2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling","We invest in health & wellness, sport & peak performance, and sustainability, but we are open to all disruptive, category-defining ideas.",VC,"$100,000 ","$500,000 "
Ignite Farm Fund,http://ignitefarmfund.com/,,,,,,,,
Ignite Impact,http://igniteimpact.fund/,https://linkedin.com/company/ignite-impact-fund,,,,,,,
Ignition Partners,https://www.ignition.vc/,https://www.linkedin.com/company/1785895,"Los Altos, California, United States",USA,,,Other,,
iiM (Innovation in Motion),http://www.iimkc.com/,,,,,,Angel network,,
Illinois Ventures,https://www.illinoisventures.com/,https://www.linkedin.com/company/illinoisventures/,,,,,,,
Illumen Capital,https://www.illumencapital.com/,,,,,,Other,,
Illuminate Ventures,http://www.illuminate.com/,https://www.linkedin.com/company/illuminate-ventures,,,"2. Prototype,3. Early Revenue",,VC,,
Imaginary Ventures,https://imaginary.co/,https://www.linkedin.com/company/imaginary,,,,,,,
Imagination Capital,https://www.imaginationvc.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Imec Xpand,https://imecxpand.com/,,Belgium,"Israel,USA,Canada",3. Early Revenue,,VC,"$500,000 ",
imec.istart,http://www.imecistart.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Impact America Fund,https://www.impactamericafund.com/,,,,,,,,
Impact First Investments,http://impact1st.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
Impact Investment Fund,https://www.impactinvestmentfund.com.au/,https://www.linkedin.com/company/impact-investment-fund/,Australia,Australia,,,Other,,
Impact Venture Capital,http://impactvc.com/,https://www.linkedin.com/in/eric-ball-ba688b3/,,,,,,,
Impact Ventures,http://www.impactventure.com/,,UK,"USA,Israel,Canada,UK","2. Prototype,3. Early Revenue",,Angel network,"$100,000 ",
ImpactAssets,http://www.impactassets.org,https://www.linkedin.com/company/impactassets,,,,,,,
Imperative Ventures,https://imperative.vc/,https://www.linkedin.com/company/imperative-science-ventures/,USA,USA,,"We invest in sustainable technology companies decarbonizing energy and industry.

We invest across multiple stages in economically advantaged business models, creating a reliable and robust energy system manufacturing industrial products using CO2 or waste, developing safe, reliable electric transportation producing sustainable proteins at scale, improving efficiency and reducing emissions",VC,,
Imperia Global,https://imperia.global/,,,,,,"Incubator, Accelerator",,
Imprimatur Capital,http://www.imprimaturcapital.com/about/,,UK,"USA,Israel,Canada,UK,Singapore",3. Early Revenue,,VC,,
IN Venture,https://www.in-venture.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
ince Capital,https://www.incecap.com/,https://www.linkedin.com/company/incecap,,,"4. Scaling,5. Growth",,VC,,
Inception Sciences,https://www.inceptiontx.com/,,,,,,,,
Inco Group,https://www.inco-group.co/,,France,"USA,Israel,Canada,France",,,VC,"$100,000 ",
Incubate Fund,http://en.incubatefund.com/,,,Japan,,,VC,,
InCube Ventures,https://www.incubevc.com/,,,,,,,,
Incubit Technology Ventures,http://www.incubitventures.com/,https://www.linkedin.com/company/incubit-technology-ventures/,Israel,Israel,3. Early Revenue,,VC,,
IncWell,http://theincwell.net/,,,,,,,,
Indaco Venture Partners,https://www.indacosgr.com/,https://www.linkedin.com/,Italy,Italy,"2. Prototype,3. Early Revenue",,VC,,
Index Ventures,https://www.indexventures.com/,https://www.linkedin.com/company/index-ventures/,"San Francisco, California, United States","USA,UK,France","3. Early Revenue,4. Scaling",,VC,,
Indian Angel Network,https://www.indianangelnetwork.com/,https://www.linkedin.com/company/indian-angel-network?trk=tyah&trkInfo=tarId%3A1405059515469%2Ctas%3Aindian+angel%2Cidx%3A2-1-4/,"Delhi, India",India,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in early and growth-stage startups. We're sector agnostic and have invested in over 160 companies across 17 different sectors and 7 countries.,Angel network,"$30,000 ","$1,000,000 "
Indicator Ventures,https://www.indicatorventures.com/,https://www.linkedin.com/company/indicator-ventures/,"373 Washington Street Boston, MA 02108",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in enterprise software, digital health, and fintech companies at the pre-seed and seed stage.",VC,"$300,000 ","$1,250,000 "
Indico Capital Partners,https://www.indicocapital.com/,https://www.linkedin.com/company/indico-capital-partners/,,UK,"2. Prototype,3. Early Revenue",,VC,,
Indie.vc,https://www.indie.vc/,,,,,,,,
IndieBio,https://indiebio.co/,https://www.linkedin.com/company/indiebio/,,,"2. Prototype,3. Early Revenue",,VC,,
IndusAge Partners,http://www.indusage.com,https://www.linkedin.com/company/celestacapital,,,,,,,
Industry Ventures,https://www.industryventures.com/,https://www.linkedin.com/company/industry-ventures,"San Francisco, California, United States",USA,,,Other,,
Infineon Technologies Japan,https://www.infineon.com/cms/en/,https://www.linkedin.com/company/infineon-technologies/,,Japan,,,Corporate VC,,
Infinite Road Capital,http://www.infiniteroadcapital.com/,https://www.linkedin.com/in/preetisampat/,,,,,,,
Infinity Group,http://www.infinity-equity.com/en/,,,,"5. Growth,6. Pre-IPO",,VC,,
Infinity Ventures,http://www.infinityventures.com/main_eng,,,Japan,,,VC,,
Information Venture Partners,https://www.informationvp.com/,https://www.linkedin.com/company/information-venture-partners/,,,,,,,
ING Ventures,https://www.ing.com/About-us/ING-Ventures.htm,https://www.linkedin.com/company/ing/,"Amsterdam, Noord-Holland, The Netherlands","USA,Israel,Canada,Netherlands",3. Early Revenue,,Corporate VC,"$250,000 ",
Inimiti,http://www.inimiti.net/,https://www.linkedin.com/profile/view?id=16915017,,,"2. Prototype,3. Early Revenue",,VC,,
Initial Capital,http://www.initial.vc/,,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Initialized Capital,https://initialized.com/,https://www.linkedin.com/company/initialized-capital/,"San Francisco, California, United States",USA,,,VC,,
Inkef Capital,https://www.inkefcapital.com/,https://www.linkedin.com/company/inkef/,Netherlands,Netherlands,3. Early Revenue,,VC,,
InMotion Ventures by Jaguar Land Rover,https://www.inmotionventures.com/,,UK,"USA,Israel,Canada,UK",3. Early Revenue,,Corporate VC,,
Inner Loop Capital,https://innerloopcap.com/,https://www.linkedin.com/in/justinlabel/,,,,,,,
InnoCells by Banco Sabadell,https://www.innocells.io/en/,https://www.linkedin.com/company/innocells/,"Barcelona, Catalonia, Spain",Spain,,,Corporate VC,,
