Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
City Light Capital,https://citylight.vc/,,"New York, New York, United States",USA,3. Early Revenue,,VC,,
CityBlock Capital,https://cityblockcapital.com,,,,,,,,
Civic Community Partners,https://civicsd.com/programs/new-markets-tax-credits/new-markets-tax-credit-overview/,,,,,,Other,,
Civilization Ventures,https://civilizationventures.com/,,,,,,,,
CKM Capital Partners,https://ckmcapital.com/,,,USA,,,Other,,
Clal Biotechnology Industries (CBI),http://www.cbi.co.il/,,,,"5. Growth,6. Pre-IPO",,VC,,
ClalTech,http://www.claltech.com/,,,,,,VC,,
Claridge Israel,http://claridgeil.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
Claris Ventures,http://www.clarisventures.com/,,,UK,,,VC,,
Class Bravo Ventures,http://www.terrihansonmead.com/classbravo,,,,"2. Prototype,3. Early Revenue",,VC,,
Clayton Park,http://www.monmouthcountyparks.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Clean Energy Trust,https://www.cleanenergytrust.org/,https://www.linkedin.com/company/clean-energy-trust/,USA,USA,3. Early Revenue,,VC,,
Clean Energy Venture Group,http://www.cleanenergyvg.com/,,,,,,Angel network,,
Clean Energy Ventures,https://cleanenergyventures.com/,,,,,,,,
Clean Feet Investors,http://cleanfeetinvestors.com/,,,,,,,,
Clean Impact Ventures,https://cleanimpactventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Clear Current Capital,https://www.ClearCurrentCapital.com,,,,,,,,
Clear Future,http://clear-future.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Clear Ventures,http://clear.ventures/,,,,"2. Prototype,3. Early Revenue",,VC,,
ClearSky Power & Technology Fund,http://www.clear-sky.com/,,,,,,VC,,
ClearVision Equity Partners,https://clearvisionequity.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Clearwater Capital Partners LLC,http://www.clearwatercapitalpartners.com/,,,Hong Kong,,,VC,,
Clearwell Group,http://clearwellgroup.com,https://www.linkedin.com/company/clearwell-group,"Tampa, Florida, United States",USA,,,Family office,,
Clever Clover,https://cleverclover.vc/team/,,,Netherlands,"4. Scaling,5. Growth",,VC,,
Click Ventures,https://www.clickventures.vc/,,Hong Kong,"USA,Israel,Canada,Hong Kong",3. Early Revenue,,VC,,
Cliffstone Advisors,http://cliffstoneadvisors.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Clinton Capital Partners,https://www.clintoncapitalpartners.com.au/,,Australia,Australia,,,VC,,
Clocktower Technology Ventures,https://www.clocktowerventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Closed Loop Capital,https://closedloopcapital.com/,,,,,,,,
ClosedLoop Partners,http://www.closedlooppartners.com/,,USA,USA,3. Early Revenue,,VC,,
Cloud Capital,https://www.cloudcap.in/,https://www.linkedin.com/company/cloudcapital,"Delhi, India","India,Singapore","3. Early Revenue,1. Idea or Patent,2. Prototype,4. Scaling",We invest in tech-first Indian startups building global products.,VC,"$100,000 ","$250,000 "
CloudApps,https://www.cloudappscapital.com/,,,,,,,,
Cloudstone Venture Fund,http://www.cloudstonevc.com/,,,,,,,,
Club degli Investitori,http://www.clubdeglinvestitori.it/,https://www.linkedin.com/company/clubdegliinvestitori/,"Via Giacosa 38, 10125 Torino, Italy",Italy,"3. Early Revenue,4. Scaling,5. Growth",We invest in Italian entrepreneurs.,Angel network,"$200,000 ","$1,200,000 "
CM Capital Corporation,http://www.ccapital.com,https://www.linkedin.com/company/c-m-capital-corporation/,"Palo Alto, California, United States",USA,,,Family office,,
CM-CIC Capital Privé,http://www.cmciccapitalprive.com/,,,France,"3. Early Revenue,4. Scaling",,VC,"$800,000 ",
CMB Capital,https://www.cmbcapital.com.au,,Australia,Australia,,,VC,,
CMC Capital Group,http://www.cmccap.com/en/index.php?s=/Cms/Index/index.html,https://www.linkedin.com/company/cmc-capital-partners,"Shanghai, Shanghai, China",China,,,Corporate VC,,
CME Ventures,http://www.cmegroup.com/cme-ventures.html,https://www.linkedin.com/company/cme-group,"Chicago, Illinois, United States",USA,,,Corporate VC,,
CNBB Venture Partners,http://cnbb.nl/,,,Netherlands,"4. Scaling,5. Growth",,PE fund,,
Co=Creation=Capital,https://www.cocreationcapital.com/,,,,,,,,
Coatue,https://www.coatue.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Cobin Angels,https://www.cobinangels.com/,https://www.linkedin.com/company/cobinangels/,"Chmielna 73, Warsaw, Poland","Poland,Ukraine,Belarus,Romania,Hungary,Czech Republic,Estonia,Slovakia,Slovenia,Latvia,Bulgaria","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in Poland and CEE. 

We like Healthcare, companies with proven POC and first revenues. 

We are a generalist, early-stage angel investor community.",Angel network,"$25,000 ","$250,000 "
Cockpit Innovation by El Al,http://cockpitinnovation.com,https://www.linkedin.com/company/cockpit-innovation-hub/,"Tel Aviv, Tel Aviv, Israel",Israel,,,Corporate VC,,
Cogent Ventures,https://cogent.co/ventures/,,Australia,Australia,,,VC,"$75,000 ",
Cogito Capital,http://cogitocap.com/,,,UK,,,VC,,
Coinbase Ventures,https://ventures.coinbase.com/,,"San Francisco, California, United States",USA,,,Corporate VC,,
Colam Impact,http://www.colamimpact.com/,https://www.linkedin.com/company/colamimpact/,"25 rue d’Astorg 75008 Paris, France",France,"3. Early Revenue,4. Scaling","We invest in impact companies.

Focus on 5 main themes directly linked to the SDGs: water and sanitation, clean and affordable energy, circular economy, health, access to education, training and employment. 

Worldwide investment scope (solo investment in France but always in co-investment abroad).",VC,"$120,000 ","$1,220,000 "
Collaborative Fund,https://www.collaborativefund.com/,,USA,USA,,,VC,,
Collective Spark,https://www.collectivespark.com/,https://www.linkedin.com/company/collective-spark/,ITU Ayazaga Ari3 Maslak Istanbul,"Turkey,Romania,Bulgaria,Greece,Albania,Azerbaijan,Kazakhstan,Uzbekistan,Serbia,Austria,Czech Republic,Slovakia,Montenegro,Estonia,Latvia,Lithuania,Poland,Ukraine,Bosnia-H,Croatia,Italy,Kyrgyzstan,Lebanon","2. Prototype,3. Early Revenue","We invest in early-stage SaaS startups, marketplaces, fintech startups.",VC,"$500,000 ","$1,000,000 "
Collider Ventures,https://www.collider.vc/,https://www.linkedin.com/company/colliderventures,"Tel Aviv, Israel 6473925, IL","USA,Israel,Germany,UK,France,Afghanistan","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest and partner with determined entrepreneurs in their long-term quest of disrupting industries. Focus on blockchain and crypto startups.,VC,"$50,000 ","$1,000,000 "
Colopl Next,https://coloplnext.co.jp/en,https://www.linkedin.com/company/coloplnext/,"Tokyo, Tokyo, Japan",Japan,,,Corporate VC,,
Colorado Innovation Fund,https://www.ici.fund/,,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Columbia Capital,https://colcap.com/,,"Alexandria, Virginia, United States",USA,,,Other,,
Columbia Lake Partners,http://www.clpgrowth.com/,,,,,,Other,,
Combating Poverty and Climate Change Foundation,http://www.CPCCF.org,,,,,,,,
Comcast Ventures,https://comcastventures.com/,https://www.linkedin.com/company/comcast-ventures/,"San Francisco, California, United States","USA,Israel,Canada",3. Early Revenue,,Corporate VC,,
Come Up Capital,http://www.comeup.capital,,,,,,,,
Comet Labs,https://cometlabs.io/team/,,USA,"USA,China","2. Prototype,3. Early Revenue",,VC,,
Commerce VC,https://commerce.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
Commercialization Reactor Fund,https://www.commercializationreactor.com/,,Latvia,Latvia,,,VC,,
CommerzVentures,https://commerzventures.com/,https://www.linkedin.com/company/commerzventures,"Kaiserstr. 20, Frankfurt am Main, Hessen, 60311, DE","Germany,UK,France,Switzerland,Italy,Spain,Australia,Belgium,Netherlands,Portugal,Sweden,Norway,Denmark,Ireland,Greece,Finland,Estonia,Czech Republic,Cyprus,Croatia,Bulgaria,Latvia,Lithuania,Malta,Afghanistan,Hungary,Slovenia,Slovakia,Israel,USA,Poland,Luxembourg,Cabo Verde,Iceland,Canada","3. Early Revenue,4. Scaling","We invest in early-stage FinTech, InsurTech, and Climate-Fintech companies starting at Series A in Europe, Israel and the USA.

The initial investment size ranges from €2.5m to €10m. We invest in the very best startups in a given sector. ",VC,"$3,000,000 ","$12,000,000 "
Committed Capital,https://committedcapital.nl/en/,,,Netherlands,"2. Prototype,3. Early Revenue",,PE fund,,
Common Angels / Converge Venture Partners,https://convergevp.com/,,,,,,VC,,
Commonwealth Capital Ventures,http://www.commonwealthvc.com/,,"Boston, Massachusetts, United States",USA,,,Other,,
Commune Angels,https://www.communeangels.com/,,,,,,Angel network,,
Communitas Capital,https://communitascapital.com/,,,,,,,,
Company Ventures,https://companyventures.co/,https://www.linkedin.com/company/11522372/admin/,"335 Madison Avenue, New York, NY 10017",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in software (sector agnostic) and are particularly interested in Financial, Health & Wellness, Real Estate, and Enterprise Technologies. We deploy pre-seed, seed, and Series A capital through our $34m Fund I; we invest through discrete investment vehicles in growth-stage companies.",VC,"$100,000 ","$1,000,000 "
Companyon Ventures,https://www.companyon.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
Compass Ventures Group,http://www.compassvgg.com/,https://www.linkedin.com/company/compass-ventures-general-group/,,,"5. Growth,6. Pre-IPO",,VC,,
Compound Ventures,https://compound.vc/,,"New York, New York, United States",USA,3. Early Revenue,,Other,,
Conconi Foundation,https://conconi.org/,,,Canada,,,Other,,
Conductive Ventures,http://conductive.vc/,,,,"3. Early Revenue,4. Scaling",,VC,,
Conduit Ventures,http://www.conduit-ventures.com/,,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
Conexo Ventures,http://conexo.vc/,,,UK,,,VC,,
Congruent Ventures,https://www.congruentvc.com/,,USA,USA,3. Early Revenue,,VC,,
Connect Ventures,https://www.connectventures.co/,https://www.linkedin.com/company/connect-ventures,"4th Floor, 89 Great Eastern Street, London, EC2A 3HX","Belgium,Croatia,France,Germany,Spain,Denmark,Albania,Greece,Sweden,Netherlands,Latvia","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in opinionated products, crafted with love and loved by many",VC,"$1,000,000 ","$2,750,000 "
Connected capital,https://connectedcapital.nl/team/,,,Netherlands,"4. Scaling,5. Growth",,Other,,
Connecticut Innovations,https://ctinnovations.com/,,USA,USA,"2. Prototype,3. Early Revenue",,Corporate VC,,
Connectivity Ventures Fund,http://www.connectivitycapitalpartners.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Connetic Ventures,http://connetic.ventures/,https://www.linkedin.com/company/10058828/admin/,,USA,,,Other,,
Conor Venture Partners,http://www.conor.vc/,,,,,,VC,,
Conscious Venture Lab,http://www.consciousventurelab.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
ConsenSys Ventures,https://www.consensys.net/,,,,,,,,
Consilience Ventures,https://www.consilienceventures.com/,https://www.linkedin.com/company/consilienceventures/?viewAsMember=true,"8-10 Moorgate Place, London, England EC2R 6EA, GB","France,UK,Germany,Switzerland,Austria,Italy,Spain","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in and support 100 startups per year globally across sectors and industries. ,VC,"$200,000 ","$500,000 "
Constellar Ventures,https://www.constellar.vc/,,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
Constellation Technology Ventures,http://technologyventures.constellation.com/,,,,,,,,
Construct Capital,https://www.constructcap.com/,,USA,USA,3. Early Revenue,,VC,,
Construtech Ventures,http://www.construtechventures.com.br,https://www.linkedin.com/company/25039859/,"Florianópolis, Santa Catarina, Brazil",Brazil,,,Corporate VC,,
Contour Venture Partners,http://www.contourventures.com/,,,,,,VC,,
Contrary,https://contrarycap.com/,https://www.linkedin.com/company/contrarycapital/,"995 Market St, San Francisco, California 94103, US","USA,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in top early-career founders across the United States and Canada.,VC,"$50,000 ","$500,000 "
Conversion Capital,http://www.conversioncapital.com/,,USA,USA,3. Early Revenue,,VC,,
Conviction Investment Partners,https://cip.ltd/,https://www.linkedin.com/company/conviction-vc/,,UK,,,VC,,
Convivialité Ventures,https://www.convivialite-ventures.com/,https://www.linkedin.com/company/convivialit%C3%A9-ventures/,"580 Howard, CA 94105, San Francisco, USA","France,Germany,UK,Netherlands,Italy,Spain,India,USA,China,Sweden,Finland,Denmark,Estonia,Switzerland,Greece,Poland,Belgium,Austria,Ireland,Ukraine,Czech Republic,Norway,Romania,Croatia,Luxembourg,Hungary,Bulgaria,Malta","3. Early Revenue,5. Growth,4. Scaling","We invest in technology companies that are changing the way people socialize, entertain, and share experiences together.

Backed by Pernod Ricard, we support entrepreneurs from series A to C who reinvent the future of convivialité.",Corporate VC,"$250,000 ","$10,000,000 "
Convrtx,https://www.convrtx.com/,https://www.linkedin.com/company/convrtx/,"Toronto, Ontario M4B 1B3, CA","USA,Mexico,India,Pakistan,Colombia,Brazil,Afghanistan,Albania,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype","An award-winning venture studio that scales software startups to dominate markets, created by founders, for founders.","Incubator, Accelerator","$20,000 ","$200,000 "
Copia Agro & Food,http://copia-agro.com,,,,"2. Prototype,3. Early Revenue",,VC,,
Copilot Ventures,http://copilot.ventures/,https://www.linkedin.com/company/copilot-ventures,"9 Appold Street, Shoreditch, London, England EC2A 2AP, GB",UK,"3. Early Revenue,4. Scaling",We invest in the future of work and education sectors,VC,"$25,000 ","$250,000 "
Coplex Ventures,http://www.coplexventures.com,,,,,,,,
Copper Wire Ventures,https://copperwire.ventures/,https://www.linkedin.com/company/copper-wire-ventures/,,,"2. Prototype,3. Early Revenue",,VC,,
Coral Capital,https://coralcap.co/?lang=en,,,Japan,,,VC,,
Coral Group,http://www.coralgrp.com,,,,"5. Growth,6. Pre-IPO",,VC,,
Corazon Capital,http://www.corazoncap.com/,,,,,,,,
Core VC,http://corevc.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Core Ventures Group,http://coreventuresgroup.com/,https://www.linkedin.com/company/core-ventures-group/,,,,,,,
CoreAngels,https://coreangels.com/,,,UK,,,VC,,
Corigin Ventures,https://www.coriginventures.com/,,USA,"USA,Canada",2. Prototype,,VC,"$100,000 ",
Cornerstone Angels,http://www.cornerstoneangels.com/,,,,,,Angel network,,
Cornerstone Venture Partners,https://cornerstonevp.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
Coronis Medical ventures,http://coronismedical.com/,,USA,USA,3. Early Revenue,,VC,,
Corpa Capital,http://www.corpacapital.com,,"Zapopan, Jalisco, Mexico",Mexico,,,Corporate VC,,
Correlation Ventures,https://correlationvc.com/,https://www.linkedin.com/company/correlation-ventures,"9255 Towne Centre Drive, San Diego, California 92121, US",USA,"3. Early Revenue,1. Idea or Patent,2. Prototype,4. Scaling,5. Growth",We invest in US-based companies that have at least one other outside VC joining the syndicate at the same time we are.,VC,"$100,000 ","$4,000,000 "
Corundum Open Innovation,http://www.corundumoi.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
Cosef,https://www.cosefuganda.org,,,,,,,,
Costanoa Ventures,https://www.costanoavc.com/,,"Palo Alto, California, United States",USA,,,Other,,
Cota Capital,https://www.cotacapital.com/,,"San Francisco, California, United States",USA,,,Other,,
Cottonwood Technology Fund,https://www.cottonwood.vc/,,"422 Old Santa Fe Trail, Santa Fe, NM 87501, United States ","USA,Netherlands,Germany,Belgium,Finland,Sweden,Denmark,Switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in hard science at pre-seed, seed, and early-stage. We fund IP-driven companies that provide Key Enabling Technologies (Photonics / Optics, Micro- & Nanoelectronics, Advanced Materials & Nanotechnology, Medical Technology, Cleantech / Energy Transition, Advanced Manufacturing & Robotics).",VC,"$500,000 ","$3,000,000 "
Coughdrop Capital,http://coughdropcapital.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Counterpart Ventures,https://counterpart.vc/,,"San Francisco, California, United States",USA,,,Other,,
Counterview Capital,http://counterview.vc/,,,,,,,,
Country Roads Angel Network,https://www.wvcran.com/,,,,,,Angel network,,
Courtside Ventures,http://courtsidevc.com/,https://www.linkedin.com/company/courtsidevc/,"148 W. 24th Street, New York, New York 10010, US","USA,Canada,India,Germany,Brazil","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage companies across sports, collectibles, media, fitness, wellness and gaming. ",VC,"$500,000 ","$3,000,000 "
Covalent Ventures,http://www.covalent.ventures,https://www.linkedin.com/company/covalentventures/,"Auckland, New Zealand ",New Zealand,"3. Early Revenue,4. Scaling,5. Growth","We invest in New Zealand companies with revenue.

Covalent Ventures is a Series A Health & Wellness venture fund actively working with companies to scale and play in major global markets. The team has over 50 combined years of sector experience in scaling high-growth companies and accessing green and brownfield markets generating growth of at least 17x.",VC,"$500,000 ","$3,500,000 "
CoVenture,http://www.coventure.vc/,https://www.linkedin.com/company/coventure/,,,"3. Early Revenue,4. Scaling",,VC,,
Covepoint Capital Advisors,http://www.covecap.com/,https://www.linkedin.com/in/melissakocovepoint,"New York, New York, United States",USA,,,Family office,,
Cowboy Technology Angels,http://www.cowboytechnologyangels.com/,,,,,,Angel network,,
Cowboy Ventures,https://cowboy.vc/,,,,,,Other,,
Cowen Healthcare Investments,https://www.cowen.com/sectors/health-care/,,,,,,Corporate VC,,
Cowin Ventures,http://www.cowinvc.com/en/index.html,,China,"USA,China",3. Early Revenue,,VC,,
Cowtown Angels,http://www.cowtownangels.org/,,,,,,Angel network,,
CP Ventures,https://cp.ventures/,https://www.linkedin.com/company/cpventures/,"37 Bligh Street, Sydney NSW, Suite 2, Sydney, New South Wales 2000, AU","Australia,USA,New Zealand,India,Singapore,Hong Kong,Colombia,Brazil","3. Early Revenue,1. Idea or Patent,2. Prototype","We invest globally in early stage, highly scalable, breakthrough technology companies",VC,"$100,000 ","$500,000 "
Craft Ventures,https://craftventures.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
Craftsman Capital Partners,http://www.craftsmancapitalpartners.com/,,,,,,VC,,
Crane Venture Partners,https://www.crane.vc/,https://www.linkedin.com/company/crane-venture-partners,"Albemarle Street, London, GB","UK,France,Germany,Spain,Ireland,Portugal,Denmark,Sweden,Belgium,Norway,Switzerland,Italy","3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in Enterprise Software and Deep Tech at the Seed stage across Europe,VC,"$1,000,000 ","$5,000,000 "
Crazy4Media,http://www.crazy4media.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
CRCM Ventures,https://crcmventures.com/,https://www.linkedin.com/company/crcmventures/,"475 Sansome St, Suite 730, San Francisco USA","USA,China",,"We invest in Consumer Tech, Enterprise IT, Healthcare/Biotech, Financial Technologies, and Frontier Technologies",VC,,
CRE Venture Capital,https://www.cre.vc/,,South Africa,South Africa,3. Early Revenue,,VC,,
Creadev,https://www.creadev.com/en,https://www.linkedin.com/company/creadev-investissements/mycompany/,"15, Rue Louis le Grand, Paris, Ile-de-France 75002, FR","Canada,France,Israel,USA","4. Scaling,5. Growth","We invest in 5 categories: 
1. Sustainable: Green energy, Recycling & waste management, Environmental services
2. Food: AgriTech, FoodTech, Food service
3. Care: Silver economy, Telemedicine, Access to care services, E-health
4. Skills: Human capital development solutions, Education, Professional training, Recruitment
5. CX: Customer services, CRM, data analytics",VC,"$3,000,000 ","$30,000,000 "
