Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
4F Ventures,https://4fventures.com/,https://www.linkedin.com/company/4fventures,"Remote, Orange County, CA","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling",We invest in traditionally overlooked founders building seed-stage eCommerce and FinTech companies across North America. Tickets up to $250K.,VC,"$50,000 ","$250,000 "
Outsized Ventures,https://www.outsized.vc/,https://www.linkedin.com/company/outsizedventures/,"71-75 Shelton Street, London, England WC2H 9JQ, GB",,,,VC,,
DigitalDX Ventures,https://www.digitaldxventures.com/,https://www.linkedin.com/company/digitaldx/,"Menlo Park, California 94025, US",,,,,,
Pillar,https://www.pillar.vc/,https://www.linkedin.com/company/pillar-vc/,"207 South St, Boston, Massachusetts 02111, US",,,,VC,,
Catapult,https://www.catapultvc.com/,https://www.linkedin.com/company/catapultvc,"Palo Alto, CA 94304, US",,,,VC,,
ClearCo,https://clear.co/,https://www.linkedin.com/company/getclearco/,"Toronto, ON M5H0A3, CA","USA,Canada","5. Growth,6. Pre-IPO",We finance ecommerce companies with non-dilutive funding,Revenue-based,"$10,000 ","$20,000,000 "
Bloom Venture Partners,https://www.bloomvp.com/,https://www.linkedin.com/company/bloomvp,"San Francisco, California 94111, US",,,,VC,,
Eastlink Capital,https://www.eastlinkcap.com/,https://www.linkedin.com/company/eastlink-capital/,"68 Willow Road, Menlo Park, CA 94025, US",,,,VC,,
Futureland Ventures,https://www.futurelandventures.com/,https://www.linkedin.com/company/futureland-ventures/,"Washington, DC",USA,"3. Early Revenue,4. Scaling,2. Prototype","We invest in in transformative early-stage technology startups creating a more sustainable, resilient, and connected future. We are a venture capital syndicate that deploys capital to startups charting the future in the following sectors: mobility, climate, internet of things, proptech, security, with a technical focus on software, robotics, and artificial intelligence.

To maximize impact, futureland ventures generally invests at the pre-seed or seed stage of a company’s journey. As a founder-led firm, we deeply understand the challenges entrepreneurs face, now and beyond.

We invest in startups with exponential solutions, with mission-driven founders (and a clear vision), who are superior operators, having some early evidence of traction (i.e. mvp, revenue, partnerships) in large, growing, or unlocked markets.",VC,"$75,000 ","$250,000 "
First Momentum Ventures,https://firstmomentum.vc/,https://www.linkedin.com/company/firstmomentum,"Alter Schlachthof 33, Karlsruhe, Baden-Württemberg 76131, DE","Germany,Austria,Switzerland","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in pre/early-traction B2B companies with a technical core as their main differentiator. We mainly invest in Deep Tech, SaaS and SaaS-enabled marketplaces.",VC,"$50,000 ","$200,000 "
New Mexico Angels,http://www.nmangels.com/,https://www.linkedin.com/company/new-mexico-angels-inc.,"1451 Innovation Parkway SE, Suite 600, Albuquerque, NM 87123",USA,"2. Prototype,3. Early Revenue,4. Scaling",We invest in companies in New Mexico and the Southwest region. We are a private angel investment network.,Angel network,"$100,000 ","$300,000 "
OneTen° Capital,https://www.oneten.capital,https://www.linkedin.com/company/onetencapital/,"1451 Innovation Parkway SE, Suite 600, Albuquerque, NM 87123",USA,"3. Early Revenue,4. Scaling","We invest in high-growth, early-stage technology companies in New Mexico and the Rocky Mountain Region with diverse and dynamic teams. ",VC,"$400,000 ","$600,000 "
Rampersand,https://www.rampersand.vc/,https://www.linkedin.com/company/rampersand/,"15 Newton St, Cremorne, Victoria 3121, AU",Australia,"3. Early Revenue,2. Prototype","We invest in Australian & Kiwi Founders building companies that generate a competitive advantage through technology and data, with a product in market (not necessarily revenue)",VC,"$100,000 ","$1,000,000 "
TrueSight Ventures,https://www.truesight.vc/,https://www.linkedin.com/company/truesight-ventures/,"4th Floor, Rex House, 4-12 Regent Street, London, London SW1Y 4PE, GB","UK,France,Germany,Ireland,Sweden,Finland,Norway,Netherlands,Switzerland,Spain,Estonia,Lithuania,Latvia,Denmark,USA","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in pre-seed / seed startups in Europe and US. We are a generalist fund and invest in B2B SaaS, marketplaces, AI/ML, fintech, insurtech, devtools, enterprise, digital health and exciting B2C startups.",VC,"$100,000 ","$500,000 "
NextGen Venture Partners,https://nextgenvp.com/,https://www.linkedin.com/company/nextgen-venture-partners,"901 S Bond St, Baltimore, Maryland 21231, US","USA,Canada",3. Early Revenue,"We invest in US-based technology companies. Our primary focus is enterprise software, healthcare IT and financial technologies.",VC,"$500,000 ","$2,500,000 "
Reimann Investors,https://www.reimann-investors.com/,https://www.linkedin.com/company/reimann-investors/,"Rosental 4, 80331 Munich, Germany","Germany,Austria,Switzerland","4. Scaling,5. Growth,6. Pre-IPO","We invest in high-growth digital companies from the premium consumer commerce, FinTech, SaaS and digital services sectors in the expansion phase (Series A, B, C) in the DACH region",Family office,"$3,000,000 ","$10,000,000 "
Alberts Impact Ventures,https://www.alberts.co/,https://www.linkedin.com/company/alberts/,"Level 7, 175 Macquarie Street, Sydney, NSW 2000, AU","Australia,New Zealand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in founders with an impact focus: 
- Environmental Sustainability 
- Mental Health & Wellbeing 
- Arts, Music & Entertainment 
- Equality ",VC,"$80,000 ","$800,000 "
Altavia Adventures,https://www.linkedin.com/company/altavia-adventures/,https://www.linkedin.com/company/altavia-adventures/,"2, Place du Colonel Fabien, Paris, Île-de-France 75019, FR",France,"2. Prototype,3. Early Revenue","We invest in early-stage Seed or Series A startups in our areas of expertise, with high growth potential and recurring revenues - Saas and Marketplace.

We are Altavia Corporate Ventures, the investment arm of Altavia Group, the leading independent international group specializing in commercial communication for the retail sector.

We firmly believe in creating mutual and shared value, thus we offer our portfolio startups tailor-made access to our best experts and to a targeted selection of the group's business units.",Corporate VC,"$200,000 ","$3,000,000 "
Slimmer AI,https://www.slimmer.ai/,https://www.linkedin.com/company/slimmer-ai/,"Singel 542 , Amsterdam, North Holland 1017, NL","Belgium,Luxembourg,Netherlands","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in AI-powered B2B SaaS ventures based in Europe. We also co-build ventures, so it's never too early to reach out!",Startup studio,"$50,000 ","$3,000,000 "
Panache Ventures,https://www.panache.vc/,https://www.linkedin.com/company/panache-ventures/,"3 place ville marie, Montreal, QC, Canada","Canada,USA","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed Canadian founders,VC,"$250,000 ","$500,000 "
Leta Capital,https://en.leta.vc/,https://www.linkedin.com/company/leta-capital/,"ulitsa Leninskaya Sloboda 26, Moscow, Moscow City 115280, RU","Israel,USA,Latvia,Lithuania,UK,Ukraine,Russia,Belarus","3. Early Revenue,4. Scaling,5. Growth",We invest in Russian-speaking IT-enterpreneurs around the globe (with no geo-preferences) with $50k+ MRR,VC,"$500,000 ","$3,000,000 "
Horizan VC,http://www.horizan.vc,https://www.linkedin.com/company/horizan-vc/,"Runway East Borough Market, 20 St Thomas St, London SE1 9RS","Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,UK","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in idea-stage founders utilising the Convertible Future Earnings Agreement, which is a SAFE note combined with a Future Earnings Agreement.",Other,"$5,000 ",$0 
Alpha Partners,https://alphapartners.com/,https://www.linkedin.com/company/alpha-venture-partners/,"Empire State Building, New York, NY","USA,Canada,UK,Mexico,Brazil","4. Scaling,5. Growth,6. Pre-IPO","We invest in early-stage tech companies, preferably with over $5 million in annual revenue.

Alpha Partners is a next-generation growth equity firm that focuses on accelerating private technology companies. To these companies and their investors, we offer an option to quickly fill out a growth or expansion stage financing round in a friendly and rational manner.

Our mission: to serve our seed and early-stage investor partners and the heroic teams they back.

>Rational and Agile Capital
As experienced entrepreneurs and early-stage venture capital investors, we founded Alpha Partners to be an agile co-investor.  We make rapid investment decisions. We’re flexible on investment size. We believe in direct communication and transparency with our partners. While we may assist with fundraising, recruiting, and strategic relationships, we rarely take board seats.

>Experienced at Scale
Alpha Partners was founded by experienced early-stage venture capital investors and former entrepreneurs with more than 75 years of combined experience. Our team, including our close advisors, have founded and helped to scale multi-billion dollar venture and private equity firms as well as made hundreds of investments themselves.

>Friendly
The venture ecosystem can be rough and tumble. We find that our best introductions come from high-quality referred deals from our friends, our fellow entrepreneurs, and venture firms we often partner with. As a result, we aspire to be as responsive, transparent, and easy to work with as we can be. Friendly.

>Not a Black Box
Making an investment is about capitalizing on a business opportunity as well as forming a partnership. In evaluating an investment, we weigh leadership team quality, revenue velocity, category leadership, concept simplicity, strategic partner strength, market size, and growth. That said, we’ve found that companies with over $5 million in annual revenue that are growing tend to stay on that growth path.",VC,"$3,000,000 ","$10,000,000 "
EcoMachines Ventures,http://ecomachinesventures.com,https://www.linkedin.com/company/ecomachines-ventures-limited/,"24th Floor, 1 Canada Square, London, E14 5AB, GB","UK,USA,Israel,Australia,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage startups with the focus on: fintech, blockchain, hardware, future of work solutions. ",Family office,"$50,000 ","$250,000 "
Boot Ventures,https://www.bootventures.com/,https://www.linkedin.com/company/boot-ventures,"Rue des Pères Blancs 4, 1040 Brussels, Belgium",Belgium,"3. Early Revenue,2. Prototype",We invest in Belgium-based startups. We are a startup studio and seed stage venture capital company based in Brussels that focuses on solving real-world problems with technology.,Startup studio,"$25,000 ","$200,000 "
Talent Venture Group,https://www.talentventuregroup.com/,https://www.linkedin.com/company/talent-venture-group/,Fleminggatan 7112 26 Stockholm,"Sweden,Norway,USA,Finland,Denmark,Germany,Switzerland,Austria,UK,France","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in HR & Talent Tech companies,VC,"$25,000 ","$500,000 "
AVV Ascend Vietnam Ventures,https://ascendvietnam.com/,https://www.linkedin.com/company/ascendvietnam,"Ho Chi Minh City, VN",Vietnam,"2. Prototype,3. Early Revenue,4. Scaling,1. Idea or Patent","We invest in internationally iconic companies arising from Vietnam.  We are particularly interested in fintech, edtech, future of work, enterprise SaaS, health tech, and logistics, but are happy to look at any tech or tech-enabled startup.  Leveraging AI or blockchain technology is a plus.  We want to be your first institutional investor.  Our team has done seed investments in Axie Infinity (blockchain gaming and NFT pioneer), ApplyBoard (edtech unicorn), ELSA (later backed by Google's AI-focused fund), Trusting Social (Sequoia's first investment in a Vietnamese startup), and dozens of other companies.",VC,"$500,000 ","$2,000,000 "
Island Capital Partners,https://www.peislandcapitalpartners.com/,https://www.linkedin.com/company/islandcapitalpartners/,"31 Queen Street, Charlottetown, Prince Edward Island C1A 4A4, CA",Canada,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in Atlantic Canadian early-stage companies,VC,"$50,000 ","$500,000 "
Credo Ventures,https://www.credoventures.com/,https://www.linkedin.com/company/credo-ventures/,"Karlovo nam 10, Prague 2, 12000, CZ","Czech Republic,Slovakia,Slovenia,Poland,Hungary,Romania,Croatia,Serbia,Bulgaria","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in the Central and Eastern European region and its diaspora. Targeting founders who leverage the incredible talent pool there but aim to build global businesses.,VC,"$100,000 ","$3,000,000 "
Kogito Ventures,http://www.kogito-ventures.com/,https://www.linkedin.com/company/kogito-ventures/,"Towarowa 28, Warsaw 00-839, Poland",Poland,"2. Prototype,3. Early Revenue,4. Scaling","We invest in European software startups with a strong Polish component (e.g. Polish co-founder, team based in Poland, business launching in Poland) If your business: - is riding the e-commerce megatrend or - is disrupting the financial system or - is a Marketplace or a B2B SaaS - is building an Industry 4.0 solution Please get in touch. We would love to hear your story!",VC,"$200,000 ","$400,000 "
Miami University Social Impact Fund,https://www.miamisif.org/,https://www.linkedin.com/company/musocialimpactfund,"2078 Farmer School of Business 800 E. High St. Oxford, OH 45056",USA,"3. Early Revenue,2. Prototype,4. Scaling",We invest in US-based seed-stage social enterprises that have a measurable social impact.,Other,"$5,000 ","$50,000 "
Prefcap,https://prefcap.io/,https://www.linkedin.com/company/adgprefcap/,"10 Chiswell St, London, EC1Y 4XY","UK,Netherlands,Ireland,Germany,Belgium,Luxembourg","3. Early Revenue,4. Scaling","We invest in B2B software companies with >$50k MRR. We tend to back businesses between Seed and Series A with quick, passive capital to get founders to the next funding round.",VC,"$500,000 ","$1,500,000 "
