Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Synergy Ventures,http://www.synergyventures.net/,,USA,USA,3. Early Revenue,"We invest in start-up companies developing medical device and diagnostic products that address major diseases and conditions prevalent in industrialized countries as the population ages (such as cancer, cardiovascular and neurological diseases, orthopedic problems, respiratory conditions, and gastrointestinal disorders).  

In these areas, we favor companies with novel, single-use medical devices that can provide clinically efficacious therapy, at lower cost, and with manageable and acceptable regulatory and reimbursement risks.  

We look for start-up ventures featuring product concepts that can be advanced with minimal infrastructure and head-count – companies that can demonstrate clinical efficacy of their product or technology early on, and thus create strong potential for partnerships and acquisitions. 

Synergy also assists our portfolio companies in developing corporate partnerships in Japan at the appropriate time, which can also provide significant strategic and economic benefits.  Our LPs are major Japan medical device corporations.",Corporate VC,"$250,000 ","$1,000,000 "
T Fund,http://www.tfund.capital/,https://www.linkedin.com/company/t-fund/,"San Mateo, California, United States",USA,,,Corporate VC,,
Tablomonto Ventures,https://tablomonto.com/,,Netherlands,Netherlands,,,VC,,
Tahoma Ventures,https://tahomaventures.com/,,,,,,,,
Takara Capital,https://takaracapital.com/,https://www.linkedin.com/company/takara-capital,"45, avenue de la Liberté, L1931, Luxembourg",France,3. Early Revenue,We invest in B2B tech enablers,VC,"$300,000 ","$600,000 "
Takeda Ventures,http://www.takedaventures.com/,,"Palo Alto, California, United States",USA,,,Corporate VC,,
Tamar Capital,https://tamar.capital/,https://www.linkedin.com/company/tamar-capital/people/,"New York, New York, United States",USA,"2. Prototype,3. Early Revenue",,Family office,,
Tamarisc Ventures,https://www.tamarisc.vc/,,USA,"USA,Canada",2. Prototype,,VC,,
Tamiami Angel Funds,http://tamiamiangels.com,https://www.linkedin.com/company/tamiamiangelfunds/,"Naples, Florida, United States",USA,,,Angel network,,
Tanarra Capital,https://tanarra.com/,,Australia,Australia,,,Other,,
TandemLaunch,https://www.tandemlaunch.com/fr/,,Canada,"USA,Canada",,,VC,,
Tank Hill Ventures,https://www.th-vp.com/,,,,,,,,
Tank Stream Ventures,https://tankstream.vc/,,Australia,Australia,,,VC,,
Tao Capital Partners,http://www.taocap.com,https://www.linkedin.com/company/tao-capital-partners,"San Francisco, California, United States",USA,,,Family office,,
Tapas Capital,https://www.tapas.capital/,,,,"2. Prototype,3. Early Revenue",,VC,,
Target Partners,https://www.targetpartners.de/,,Germany,"USA,Germany",3. Early Revenue,,VC,,
Tarnagulla Ventures,http://www.tarnagullaventures.com/,,Australia,Australia,,,VC,,
Taronga Ventures,https://tarongagroup.com/,,Australia,"Australia,Singapore",,,VC,"$500,000 ",
TAU Ventures,https://www.tauventures.co.il/,,,,"2. Prototype,3. Early Revenue",,VC,,
Taurus Ventures,http://www.taurus.vc/,,,,,,,,
Taya Ventures,http://tayaventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
TCG The Chernin Group,https://tcg.co/,https://www.linkedin.com/company/the-chernin-group/,"12180 Millennium Drive, Suite 500, Playa Vista, CA 90094","USA,Canada,China,India","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",TCG is a multi-stage investment firm dedicated to building consumer business. We invest on majority and minority investments across the consumer landscape. ,Other,"$10,000,000 ","$100,000,000 "
TCG The Column Group,http://www.thecolumngroup.com/,,USA,USA,3. Early Revenue,,VC,,
TCL Capital,http://capital-en.tcl.com,,"Shenzhen, Guangdong, China",China,,,Corporate VC,,
TCV,https://www.tcv.com/,,,,,,Other,,
TDF Ventures,http://www.tdfventures.com/,,"Chevy Chase, Maryland, United States",USA,3. Early Revenue,,VC,"$500,000 ",
TDJ Pitango Ventures,https://tdjpitango.com/,,Poland,Israel,3. Early Revenue,,VC,,
TDK Ventures,http://www.tdk-ventures.com/,https://www.linkedin.com/company/tdk-ventures-inc/,"San Jose, California, United States",USA,,,Corporate VC,,
TDM Growth Partners,https://www.tdmgrowthpartners.com,,Australia,"Australia,USA",,,Other,,
Team Builder Ventures,https://www.teambuilderventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
TEC Ventures,http://www.tec.vc/,,,USA,,,Other,,
Tech Coast Angels,https://www.techcoastangels.com/,,,USA,,,Angel network,,
Tech.bio,https://www.tech.bio/,,,,"2. Prototype,3. Early Revenue",,VC,,
TechAccel Ventures,http://www.techaccel.co.jp/,,,Japan,,,VC,,
Techfund Capital,http://www.techfund.com/,,"233, rue, de la Croix Nivert, 13 75015 Paris FRANCE",France,,,Other,,
TechFund One,https://techfundone.nl/,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
TechNexus VC,https://www.technexus.com/,,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
TechnoFounders,https://www.technofounders.com/,,,UK,,,VC,,
TechnoPlus Ventures,http://www.technoplusvc.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
TechOne Ventures,https://www.techone.vc/,https://www.linkedin.com/company/techone-venture-capital,"Ortaköy Ave. Dereboyu St. N:78  Door N:4 Beşiktaş/ İstanbul, Turkey",Turkey,"3. Early Revenue,4. Scaling,5. Growth","We invest in innovative tech startups founded by visionary entrepreneurs solving global problems, to deliver superior returns for our investors. We don't have any specific focus on sectors. ",VC,"$100,000 ","$1,000,000 "
TechSquare Labs,https://techsquare.co/,,,USA,,,Other,,
TechX Ventures,http://techxventures.com/,https://www.linkedin.com/in/davidarosen,"Warren, New Jersey, United States",USA,,,Family office,,
Tecnet Equity,https://www.tecnet.at/en/venture-capital/,,Austria,Austria,,,VC,,
Tectonic Capital,https://www.tectonic.vc/,,USA,USA,3. Early Revenue,,VC,,
Tedco,https://www.tedcomd.com/,,USA,USA,,,VC,,
Tekfen Ventures,http://tekfenventures.com/,https://www.linkedin.com/company/tekfen-ventures,"New York, New York, United States",USA,,,Corporate VC,,
Teknasyon,https://teknasyon.com/en/investments/,https://www.linkedin.com/company/teknasyon,"Buyukdere Caddesi 245, Istanbul, Istanbul 34485, TR","Romania,Ukraine,Egypt,UAE,Bahrain,Estonia,Portugal,Turkey,Russia,Belarus,Poland,Czech Republic,Hungary","3. Early Revenue,4. Scaling,2. Prototype","We invest in B2C mobile app startups with high-quality, ready-to-use, consumer-focused content",Corporate VC,"$100,000 ","$500,000 "
Tekton Ventures,https://tektonventures.com/,,USA,"USA,Israel,France","3. Early Revenue,4. Scaling",,VC,,
TEL Venture Capital by Tokyo Electron,https://www.tel.com/,,Japan,USA,3. Early Revenue,,Corporate VC,,
Telefónica Tech Ventures,https://techventures.telefonica.com/,,,UK,,,VC,,
Telefonica Ventures,https://www.telefonica.com/en/web/innovation/innovation-ventures,,"Mountain View, California, United States","USA,Israel",3. Early Revenue,,Corporate VC,"$150,000 ",
Telegraph Hill Capital,http://www.thcap.com/,,USA,USA,,,VC,,
Telegraph Hill Partners,https://thpartners.net/,,,USA,,,Other,,
Telescope Partners,https://telescopepartners.com/,,,,,,,,
TeleSoft Partners,https://www.telesoftvc.com/,,"San Francisco, California, United States",USA,,,Other,,
Telluride Venture Fund,http://www.tellurideventurefund.com,,,,,,,,
Telstra Ventures,https://telstraventures.com/,https://www.linkedin.com/company/telstra-ventures/,"575 Market Suite Suite 1650 San Francisco, CA 94105 USA","USA,China,Australia,Canada,Israel","3. Early Revenue,4. Scaling","We invest in: (i) security, cloud, SaaS, networking, machine learning, data, consumer / media / mobile, logistics, and other emerging sectors; (ii) USA, China or Australia geographies; (iii) high-quality people; (iv) companies with $1M to $20M in revenue, and (v) invests in ~10 new companies each year. 

Telstra Ventures’ mission is to serve lighthouse leaders and help them deliver on their product dreams. 

Our differentiation comes from (i) sourcing: thematic investors complemented with data science, (ii) Revenue Bearing Relationships value-add: we have generated $300m in revenues for our portfolio in Australia and Asia by selling to and through Telstra, and (iii) our quality investment process: in 9 years, we have generated 8 IPOs (BigCommerce, Box, Cloopen, Crowdstrike, DocuSign, Skillz, Snap, and Whispir), 9 strategic M&As (Elastica, Elemental, Kony, Nexmo, Nginx, Ooyala, Rancher, TeleSign, and VeloCloud), and 3 additional Unicorns (Auth0, GitLab, UBtech).  ",VC,"$4,000,000 ","$15,000,000 "
Telus Ventures,https://www.telus.com/ventures,https://www.linkedin.com/jobs/view/technology-investment-director-telus-ventures-at-telus-186228810/,"Vancouver, British Columbia, Canada","USA,Israel,Canada",3. Early Revenue,,Corporate VC,"$2,000,000 ",
Tempus Partners,https://tempus.com.au/,,Australia,Australia,,,VC,"$500,000 ",
Ten Eighty Capital,http://www.teneighty.us,,"Park City, Utah, United States",USA,,,Family office,,
Ten Oaks Group,https://tenoaksgroup.com/,https://www.linkedin.com/company/ten-oaks-group,"Charlotte, North Carolina, United States",USA,,,Family office,,
Ten13,https://ten13.com.au/,,Australia,Australia,,,VC,"$750,000 ",
Tenacious Ventures,https://tenacious.ventures/,https://www.linkedin.com/company/tenacious-vc,"Melbourne, VIC 3000, AU",Australia,3. Early Revenue,We invest in early-stage agtech and foodtech startups,VC,"$250,000 ","$1,500,000 "
Tenaya Capital,https://www.tenayacapital.com/,,"Portola Valley, California, United States",USA,,,Other,,
Tene Investment Funds,http://tenecapital.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
TenEleven,https://www.1011vc.com/,,USA,USA,3. Early Revenue,,VC,,
TenOneTen Ventures,https://tenoneten.net/,https://www.linkedin.com/company/tenoneten-ventures,"1999 Avenue of the Stars, CA 90067, USA",USA,3. Early Revenue,We invest in engineers turned entrepreneurs.,VC,"$250,000 ","$1,500,000 "
Tensility VC,http://www.tensilityvc.com/,,,,,,,,
Tensor Ventures,https://tensor.ventures/,,Czech Republic,Czech Republic,3. Early Revenue,,VC,,
Tenzor Capital,https://www.tenzor.capital/,,Russia,Russia,3. Early Revenue,,VC,,
Tera Ventures,http://www.tera.vc/,,,,,,Other,,
Terra Venture Partners,http://www.terravp.com,https://www.linkedin.com/company/terra-venture-partners/,"4 Hamada St., PO box 355 Yokneam Illit  20692, Israel",Israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Israeli early-stage startups developing innovative technologies that have the potential to make a positive impact on people and the environment.

Our portfolio companies are developing technologies and strong business models to disrupt industries in sectors such as Medical, Agritech & Foodtech, Cleantech, Digitalization of traditional industries, Mobility, Construction & Proptech, Industry 4.0 and more.",VC,"$500,000 ","$1,000,000 "
TerraVC,https://terra.vc/,,UAE,"Israel,USA,Canada",3. Early Revenue,,VC,,
Tesi,http://www.industryinvestment.com/,,Finland,Finland,3. Early Revenue,,VC,"$5,000,000 ",
TEXO Ventures,http://www.texoventures.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
Texoma Angels,http://www.texomaangels.com/,,,,,,Angel network,,
The 13 Ventures,http://www.the13ventures.com,https://www.linkedin.com/company/18647377/admin/,"New York, New York, United States",USA,,,Corporate VC,,
The AI Institute,https://theaiinstitute.ai/,,France,"USA,France",3. Early Revenue,,Angel network,,
The Alchemy Fund,https://www.alchemy-fund.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
The Angel Roundtable,http://www.theangelroundtable.com/,,,,,,Angel network,,
The Arkfund,https://www.arkfund.co/,https://www.linkedin.com/company/thearkfund/,"Goldsmith 40, Polanco, Polanco III Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX","Mexico,Colombia,Argentina,Chile,Peru","3. Early Revenue,2. Prototype,4. Scaling","We invest in emerging techs in Latam. 

The Arkfund is a Pre-seed and Seed, industry agnostic fund.",VC,"$50,000 ","$50,000 "
The Atmospheric Fund,https://taf.ca/,,,,,,,,
The Bricks,http://brickcapital.co,https://www.linkedin.com/company/brickscapital/,"West Palm Beach, Florida, United States",USA,,,Family office,,
The Capital Good Fund,https://capitalgoodfund.org/en/,,,,,,Other,,
The Community Fund,https://www.thecommunity.vc/,https://www.linkedin.com/company/the-community-fund-vc/,"Boston, Massachusetts",USA,"2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in community-driven companies.,VC,"$50,000 ","$50,000 "
The Cove Fund,http://www.covefund.com,,,,,,,,
The Engine,https://www.engine.xyz/,,USA,USA,3. Early Revenue,,VC,,
The Faktory,https://www.thefaktory.com/,,Belgium,Belgium,,,VC,"$250,000 ",
The Farm Ventures,http://www.thefarmventures.com/,,,,,,,,
The Fielding Group,https://www.fielding.global/,,,,"2. Prototype,3. Early Revenue",,VC,,
The Founders Kitchen,https://founders.kitchen/,,,,"2. Prototype,3. Early Revenue",,VC,,
The Fund,https://thefund.vc,https://www.linkedin.com/company/thefund/,"305 2nd Ave, New York, 10003, US","USA,UK,Germany,France,Australia,Spain","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in tech-enabled companies making a positive impact. First check.,VC,"$50,000 ","$100,000 "
The Fund at Hula,https://www.hulalakeside.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
The Gogin Capital,http://www.g-cp.jp/,,,Japan,,,VC,,
The Gores Group,http://www.gores.com,https://www.linkedin.com/company/the-gores-group/,"Beverly Hills, California, United States",USA,,,Family office,,
The Hillman Company,http://hillmancompany.com,,"Kelayres, Pennsylvania, United States",USA,,,Family office,,
The Hive,https://hivedata.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
The House Fund,http://www.thehouse.fund,,,,,,VC,,
The Impact Engine,https://www.theimpactengine.com/,,,USA,,,Other,,
The K Fund,http://www.thekfund.com/,,"Los Angeles, California, United States",USA,,,Family office,,
The Kin Group,https://www.kingroup.com.au/,,Australia,"USA,Israel,Canada,Australia",3. Early Revenue,,Family office,,
The Longevity Fund,https://www.longevity.vc/,,USA,USA,3. Early Revenue,,VC,,
The McClatchy Company,http://www.mcclatchy.com,http://www.linkedin.com/company/the-mcclatchy-company,"Sacramento, California, United States",USA,,,Corporate VC,,
The Next Branch Impact Ventures,https://www.thenextbranch.com/,,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
The Nordic Web Ventures,https://www.thenordicweb.vc/,,,,,,Other,,
The SidebySide Partnership,https://thesidebysidepartnership.com/,https://www.linkedin.com/company/the-sidebyside-partnership/,"17 Carlton House Terrace, St. James’s, London, SW1Y 5AS, United Kingdom",UK,"4. Scaling,5. Growth","We invest in fast-growing technology-enabled businesses with £1-10 million in revenue, that qualify for EIS investment. These more established companies will usually be at least several years old and typically have over 30 employees. We look for companies where there is evidence of a strong customer acceptance of the product and service offered, and where we believe we can add substantively to the knowledge and experience of the management team as the company grows.",VC,"$275,000 ","$1,400,000 "
The Skoll Foundation,http://www.skollfoundation.org,http://www.linkedin.com/company/skoll-foundation,"Palo Alto, California, United States",USA,,,Family office,,
The TauTona Group,https://tautonagroup.com/,,,,,,,,
The Thiel Foundation,http://thielfoundation.org,https://www.linkedin.com/company/the-thiel-foundation,"San Francisco, California, United States",USA,,,Family office,,
The Tornante Company,http://tornante.com/,,,,,,Other,,
The Valley Fund,https://thevalleyfund.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
The VR Fund,https://www.thevrfund.com/,,USA,"Israel,USA,Canada",2. Prototype,,VC,,
The Westly Group,https://www.westlygroup.com/,https://www.linkedin.com/company/the-westly-group,"Menlo Park, California, United States","USA,Canada,Belgium,Finland,Sweden,France,Germany","3. Early Revenue,4. Scaling","We invest in companies building technology in Energy, Transportation, Buildings, & Industry 4.0.",Other,"$3,000,000 ","$7,000,000 "
The Whittemore Collection,http://www.whittemorecollection.com/,https://www.linkedin.com/company/whittemore-collection-ltd/about/,"Port Chester, New York, United States",USA,,,Family office,,
Thiel Capital,http://thielcapital.com/,,USA,"Israel,USA,Canada",3. Early Revenue,,VC,,
Think Bigger Capital,https://thinkbigger.vc/,,,UK,,,VC,,
Third Kind Venture Capital,http://3kvc.com/,,"New York, New York, United States",USA,,,Other,,
Third Rock Ventures,https://www.thirdrockventures.com/,https://www.linkedin.com/company/third-rock-ventures,"29 Newbury St., 3rd Floor, Boston, MA 02116, US",USA,"2. Prototype,1. Idea or Patent","We invest in therapeutics. 

We are a venture studio focused on company formation that translates bleeding-edge science into medicines that transform patient lives.",VC,"$5,000,000 ","$100,000,000 "
Third Wave Digital,https://www.thirdwavedigital.com/,,,,,,Other,,
Thomvest Ventures,https://thomvest.com/,,"San Francisco, California, United States",USA,,,Other,,
Three Bell Capital,http://www.three-bell.com,http://www.linkedin.com/in/threebell,"Los Altos, California, United States",USA,,,Family office,,
Three Bridges,http://www.tbv.vc/,,,,,,,,
Three Tree Ventures,http://www.threetreeventures.com,https://www.linkedin.com/company/9552323,"Falls Church, Virginia, United States",USA,,,Family office,,
Three Fish Capital,http://www.threefishcapital.com/,,,,,,,,
Threshold,https://threshold.vc/,,"Menlo Park, California, United States",USA,,,VC,,
Thrive Capital,https://www.thrivecap.com/,,"New York, New York, United States",USA,,,Other,,
Thuja Capital,https://www.thujacapital.com/,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Thundermountain,https://www.linkedin.com/in/frank-petry/,https://www.linkedin.com/in/frank-petry/,"Kaiserslautern, Rheinland-Pfalz, Germany","Germany,Lithuania,Latvia,Estonia,Switzerland,Austria,UK,France,Netherlands,Belgium,Luxembourg","2. Prototype,3. Early Revenue,4. Scaling","We invest in European based Tech Startups with a focus on global growth. Minimum MVP, better first revenue. We're building a bridge from the East to the West, so we also focus on promising CEE startups. ",Other,"$25,000 ","$100,000 "
Thursday Ventures,http://www.thursday.vc,,,,,,,,
Tiantang Ventures,https://tiantang-ventures.com/,,,Hong Kong,,,VC,,
TiE Launchpad,http://www.tielaunchpad.com/,,,,,,,,
Tiger Global Management,https://www.tigerglobal.com/home,,"New York, New York, United States",USA,,,Other,,
Tikehau Investment Management,http://www.tikehauim.com,https://www.linkedin.com/company/tikehau-investment-management,"Paris, Ile-de-France, France",France,,,Corporate VC,,
Tillery Capital,http://www.tillerycapital.com/,,"Charlotte, North Carolina, United States",USA,,,Family office,,
TIM Ventures,http://timventures.tim.it/,https://www.linkedin.com/company/tim_ventures,"Milano, Lombardia, Italy",Italy,,,Corporate VC,,
Time Warner Investments,http://www.timewarner.com/our-company/tw-investments,,"New York, New York, United States",USA,,,Corporate VC,,
Tin Shed Ventures,http://www.tinshedventures.com/,https://www.linkedin.com/company-beta/17991260/,"Ventura, California, United States",USA,,,Corporate VC,,
Tioga Capital,https://tioga.capital/,,,UK,,,VC,,
TIS,http://www.tis.com/,,,Japan,,,Corporate VC,,
Titan Ventures,https://titan-ventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
TL Ventures,http://tl.ventures/,,,,"3. Early Revenue,4. Scaling",,VC,,
TLSG,http://tlsginc.com,https://www.linkedin.com/company/tlsg/,"Evanston, Illinois, United States",USA,,,Family office,,
TLV Partners,https://www.tlv.partners/,,,UK,"2. Prototype,3. Early Revenue",,VC,,
TMI Telkomsel Mitra Inovasi,https://www.tmi.id,https://www.linkedin.com/company/tselinvestments/,"Jakarta, Jakarta Raya, Indonesia",Indonesia,,,Corporate VC,,
TNF Venture,http://www.tnfventures.com/,,Singapore,USA,3. Early Revenue,,VC,,
TNG Fintech Group Inc.,http://www.tngfintech.com,https://www.linkedin.com/company/tngfintechgroup,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,,,Corporate VC,,
Toba Capital,http://www.tobacapital.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
Tokyu Corporation,http://www.tokyu.co.jp/global/english/index.html,,,Japan,,,Corporate VC,,
Tomorrow Capital,http://www.tomorrowcapital.in,https://www.linkedin.com/company/tomorrow-capital/,"Mumbai, Maharashtra, India",India,,,Corporate VC,,
TomorrowVentures,http://www.tomorrowvc.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Torch Capital,https://torchcapital.vc/,,,,,,,,
Total Ventures,https://www.ventures.total/en,,"La Défense, Ile-de-France, France","USA,Israel,Canada,France",3. Early Revenue,,Corporate VC,,
Touchdown Ventures,http://www.touchdownvc.com/,,,,,,VC,,
Town Hall Ventures,https://www.townhallventures.com/,https://www.linkedin.com/company/townhallventures/,"330 Hudson St, New York, US",USA,"3. Early Revenue,4. Scaling,5. Growth","We invest in tech and services for underserved populations in healthcare, with a focus on Medicare, Medicaid, chronic illnesses and value-based care",VC,"$1,000,000 ","$15,000,000 "
Townsend Capital,http://www.townsendcapital.com/,,,,,,,,
TPG,https://www.tpg.com,,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
TPG Capital,http://www.tpggrowth.com,,,,,,VC,,
TPY Capital,https://tpycapital.com/,https://www.linkedin.com/company/tpycapital/,"Raoul Wallenberg 20, Tel Aviv, Israel",Israel,"3. Early Revenue,2. Prototype,4. Scaling","We invest in early and revenue-generating B2B enterprise software-related companies with a focus on cloud infrastructure, big data, human augmentation, and quantum computing.",VC,"$2,000,000 ","$7,000,000 "
TR Capital​,http://www.tr-capital.com/,,,Hong Kong,,,VC,,
Traction Tribe,http://traction-tribe.com/,,Hungary,Hungary,,,VC,"$50,000 ",
Trail Post Ventures,http://trailpostventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
TrailMix Ventures,https://tmv.vc/,,,,,,,,
Transamerica Ventures,http://www.transamericaventures.com,http://www.linkedin.com/company/transamerica,"New York, New York, United States",USA,,,Corporate VC,,
Transcent Fund,https://www.transcend.fund/,,,,,,Other,,
Transition Level Investments,https://www.transitionlevel.com/,,Australia,Australia,,,Family office,"$200,000 ",
Translink Capital,https://translinkcapital.com/,https://www.linkedin.com/company/translink-capital/,"530 Lytton Avenue, Suite 300 Palo Alto, CA 94301 United States","China,USA,Taiwan,South Korea,Switzerland,UK,Canada,France,Germany,Finland,Denmark","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in early-stage startups across consumer, enterprise, and digital health sectors",VC,"$500,000 ","$7,000,000 "
Transmedia Capital,https://transmediacapital.com/,,"San Francisco, California, United States",USA,,,Other,,
